1000
2
1
0.631189 0.852782 -1
0.355074 0.827842 -1
0.997003 0.923611 -1
0.224171 0.27587 1
0.652451 0.64501 1
0.604991 0.418188 -1
0.387245 0.992046 1
0.142187 0.470746 1
0.025135 0.675336 -1
0.421112 0.93333 1
0.1841 0.571103 -1
0.725775 0.438342 1
0.370363 0.320046 -1
0.84156 0.915464 1
0.73423 0.982108 1
0.571026 0.279705 1
0.176855 0.0197772 -1
0.957384 0.336299 -1
0.265322 0.886147 1
0.924581 0.111265 1
0.22377 0.312077 1
0.373564 0.524825 1
0.0875004 0.119375 -1
0.640117 0.760876 -1
0.180617 0.312653 1
0.0450511 0.288987 -1
0.723173 0.32581 1
0.347438 0.411657 -1
0.660617 0.263354 1
0.383869 0.486418 1
0.627347 0.226709 1
0.0216498 0.931301 -1
0.91057 0.044547 1
0.800559 0.976475 1
0.745847 0.782996 -1
0.813113 0.450524 1
0.383306 0.213963 1
0.617279 0.103098 -1
0.575495 0.54499 -1
0.530052 0.536087 -1
0.27507 0.667935 -1
0.248629 0.0808333 -1
0.451639 0.646777 1
0.227713 0.145742 -1
0.80445 0.403092 1
0.986104 0.91844 -1
0.0299919 0.423447 -1
0.535664 0.642315 1
0.0870772 0.615654 1
0.802091 0.799647 -1
0.989145 0.442745 1
0.0669463 0.700247 1
0.939398 0.819064 1
0.0181775 0.265361 -1
0.683839 0.0557054 -1
0.783736 0.707487 -1
0.534138 0.800666 -1
0.885359 0.967305 -1
0.899005 0.992052 -1
0.625938 0.0422377 -1
0.137869 0.923263 -1
0.217802 0.0628205 -1
0.182141 0.38149 1
0.0418199 0.127719 -1
0.106942 0.439161 1
0.616443 0.00860256 -1
0.939661 0.874003 1
0.354456 0.887014 1
0.410629 0.518495 1
0.984349 0.305778 1
0.945579 0.396395 -1
0.676645 0.40264 1
0.988302 0.224949 1
0.766831 0.5513 1
0.336699 0.285895 1
0.662382 0.371232 1
0.244165 0.0494597 -1
0.295507 0.814143 1
0.680178 0.621299 1
0.527847 0.310812 -1
0.411594 0.229097 1
0.602638 0.430814 -1
0.75052 0.724517 -1
0.583533 0.862068 -1
0.551793 0.682112 1
0.583571 0.577215 -1
0.51182 0.801968 -1
0.0825927 0.16709 -1
0.71957 0.637494 1
0.996156 0.991581 -1
0.354534 0.909377 1
0.971259 0.473889 -1
0.346449 0.610149 -1
0.886544 0.897814 1
0.454695 0.712481 1
0.413427 0.425573 1
0.217732 0.527658 -1
0.125655 0.228589 -1
0.308915 0.894581 1
0.726104 0.108785 -1
0.782872 0.949908 1
0.693788 0.39808 1
0.00980225 0.0280311 1
0.843213 0.447067 -1
